,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
3330,New Mexico,70,San Jose St.,71,San Jose St.,41.194061279296875,-1,40.194061279296875
3331,Iowa,89,Southern California,99,Southern California,49.875,-10,39.875
3332,Colorado St.,60,San Diego St.,75,San Diego St.,56.762901306152344,-15,41.762901306152344
3333,Baylor,70,Arizona,81,Arizona,61.180580139160156,-11,50.180580139160156
3334,UCF,95,Arizona St.,89,Arizona St.,52.98872375488281,6,58.98872375488281
3335,Lehigh,58,Boston U.,63,Boston U.,35.907470703125,-5,30.907470703125
3336,Western Caro.,50,VMI,66,VMI,31.4375,-16,15.4375
3337,South Carolina,63,Vanderbilt,66,Vanderbilt,56.339805603027344,-3,53.339805603027344
3338,Lafayette,68,Army West Point,70,Army West Point,32.4375,-2,30.4375
3339,Stanford,67,Wake Forest,80,Wake Forest,44.25,-13,31.25
3340,Davidson,76,La Salle,79,La Salle,45.20273303985596,-3,42.20273303985596
3341,Charleston So.,97,Winthrop,102,Winthrop,39.75,-5,34.75
3342,USC Upstate,92,UNC Asheville,93,UNC Asheville,39.5,-1,38.5
3343,Purdue Fort Wayne,120,Wright St.,113,Wright St.,37.999267578125,7,44.999267578125
3344,Colgate,73,Navy,66,Navy,33.2579345703125,7,40.2579345703125
3345,Wofford,81,Chattanooga,83,Chattanooga,40.09202003479004,-2,38.09202003479004
3346,California,53,North Carolina,79,North Carolina,55.800048828125,-26,29.800048828125
3347,Duquesne,73,George Washington,65,George Washington,40.943687438964844,8,48.943687438964844
3348,Holy Cross,82,Bucknell,86,Bucknell,36.25688362121582,-4,32.25688362121582
3349,NC State,76,Virginia Tech,79,Virginia Tech,44.0,-3,41.0
3350,Samford,75,Mercer,74,Mercer,38.0,1,39.0
3351,IU Indy,59,Oakland,72,Oakland,38.0,-13,25.0
3352,ETSU,70,Furman,73,Furman,45.0,-3,42.0
3353,Northern Ky.,58,Cleveland St.,76,Cleveland St.,33.3495569229126,-18,15.349556922912598
3354,UAB,92,South Fla.,83,South Fla.,38.23003387451172,9,47.23003387451172
3355,Bowie St.,76,Howard,73,Howard,33.201011657714844,3,36.201011657714844
3356,Massachusetts,120,Fordham,118,Fordham,35.90625,2,37.90625
3357,Richmond,49,St. Bonaventure,63,St. Bonaventure,51.0,-14,37.0
3358,Southern Ill.,73,Missouri St.,51,Missouri St.,34.89060592651367,22,56.89060592651367
3359,Seton Hall,77,Butler,82,Butler,48.984375,-5,43.984375
3360,Gardner-Webb,75,Radford,79,Radford,38.037353515625,-4,34.037353515625
3361,George Mason,67,Dayton,59,Dayton,54.8515625,8,62.8515625
3362,The Citadel,57,UNC Greensboro,70,UNC Greensboro,43.61507034301758,-13,30.615070343017578
3363,Kansas,57,Iowa St.,74,Iowa St.,67.490234375,-17,50.490234375
3364,Troy,77,ULM,58,ULM,25.25,19,44.25
3365,Penn St.,85,Michigan St.,90,Michigan St.,59.0,-5,54.0
3366,Fla. Atlantic,65,Tulane,80,Tulane,39.40625,-15,24.40625
3367,Murray St.,93,UIC,97,UIC,44.3359375,-4,40.3359375
3368,Georgia St.,80,Texas St.,94,Texas St.,42.94099426269531,-14,28.940994262695312
3369,Georgia,56,Tennessee,74,Tennessee,67.0,-18,49.0
3370,Southern Miss.,62,South Alabama,75,South Alabama,44.60335159301758,-13,31.603351593017578
3371,Indiana St.,65,Bradley,118,Bradley,46.970703125,-53,-6.029296875
3372,West Virginia,54,Houston,70,Houston,70.46302032470703,-16,54.46302032470703
3373,Utah,73,TCU,65,TCU,52.66089630126953,8,60.66089630126953
3374,Omaha,80,Denver,62,Denver,27.0,18,45.0
3375,Pittsburgh,70,Florida St.,82,Florida St.,51.0,-12,39.0
3376,SMU,54,Virginia,52,Virginia,42.0,2,44.0
3377,Rhode Island,77,Loyola Chicago,81,Loyola Chicago,38.7574462890625,-4,34.7574462890625
3378,Illinois St.,62,Drake,66,Drake,48.5859375,-4,44.5859375
3379,Cincinnati,68,Colorado,62,Colorado,48.16218948364258,6,54.16218948364258
3380,Purdue,69,Washington,58,Washington,48.8575439453125,11,59.8575439453125
3381,Texas,77,Oklahoma,73,Oklahoma,51.25,4,55.25
3382,Utah St.,62,UNLV,65,UNLV,46.0,-3,43.0
3383,Maine,57,NJIT,44,NJIT,22.015625,13,35.015625
3384,Cheyney,62,Coppin St.,88,Coppin St.,20.3856201171875,-26,-5.6143798828125
3385,New Hampshire,79,UMBC,76,UMBC,35.610870361328125,3,38.610870361328125
3386,Bryant,89,UAlbany,79,UAlbany,32.86102294921875,10,42.86102294921875
3387,West Ga.,60,FGCU,82,FGCU,40.40625,-22,18.40625
3388,Stony Brook,74,Delaware,84,Delaware,37.121315002441406,-10,27.121315002441406
3389,Lipscomb,87,Bellarmine,53,Bellarmine,24.193302154541016,34,58.193302154541016
3390,Elon,65,Drexel,54,Drexel,39.359375,11,50.359375
3391,Mount St. Mary's,60,Rider,66,Rider,30.18145751953125,-6,24.18145751953125
3392,Canisius,61,Iona,82,Iona,33.48098945617676,-21,12.480989456176758
3393,App State,62,Old Dominion,43,Old Dominion,29.83685874938965,19,48.83685874938965
3394,Marist,56,Saint Peter's,51,Saint Peter's,35.25,5,40.25
3395,Northeastern,72,UNCW,80,UNCW,43.11459541320801,-8,35.11459541320801
3396,Ga. Southern,88,Coastal Carolina,87,Coastal Carolina,35.0,1,36.0
3397,Louisiana Tech,61,Jacksonville St.,63,Jacksonville St.,43.70654296875,-2,41.70654296875
3398,Col. of Charleston,67,Campbell,61,Campbell,35.72271728515625,6,41.72271728515625
3399,Sam Houston,69,Kennesaw St.,75,Kennesaw St.,38.63145065307617,-6,32.63145065307617
3400,IU Indy,100,IU Columbus,44,IU Indy,,56,
3401,Middle Tenn.,97,Oglethorpe,51,Middle Tenn.,,46,
3402,UT Arlington,90,UNT Dallas,55,UT Arlington,,35,
3403,Southern Ill.,80,Col. of Charleston,90,Southern Ill.,46.56413459777832,-10,36.56413459777832
3404,Jacksonville St.,112,LaGrange,48,Jacksonville St.,,64,
3405,Santa Clara,85,Saint Louis,78,Santa Clara,40.56315994262695,7,47.56315994262695
3406,Stanford,85,Denver,62,Stanford,27.0,23,50.0
3407,UMBC,95,Penn St.-York,66,UMBC,,29,
3408,Stonehill,81,Framingham St.,62,Stonehill,,19,
3409,Wofford,112,Erskine,58,Wofford,,54,
3410,Liberty,83,Valparaiso,63,Liberty,38.071725845336914,20,58.071725845336914
3411,Hofstra,89,Old Westbury,62,Hofstra,,27,
3412,Harvard,79,Marist,66,Harvard,39.359375,13,52.359375
3413,Temple,81,Sacred Heart,70,Temple,34.2373046875,11,45.2373046875
3414,South Dakota St.,80,McNeese,73,South Dakota St.,49.0,7,56.0
3415,Drexel,95,Georgian Court,43,Drexel,,52,
3416,Purdue,90,A&M-Corpus Christi,73,Purdue,41.939515113830566,17,58.939515113830566
3417,VMI,103,Washington Col.,54,VMI,,49,
3418,UMass Lowell,115,Rivier,59,UMass Lowell,,56,
3419,Niagara,100,Houghton,65,Niagara,,35,
3420,Winthrop,125,Piedmont,65,Winthrop,,60,
3421,App State,63,Miami (OH),77,App State,40.250061988830566,-14,26.250061988830566
3422,St. John's (NY),92,Fordham,60,St. John's (NY),35.90625,32,67.90625
3423,Delaware,73,Bucknell,85,Delaware,36.25688362121582,-12,24.25688362121582
3424,Butler,72,Missouri St.,65,Butler,34.89060592651367,7,41.89060592651367
3425,Jacksonville,78,Trinity Baptist,65,Jacksonville,,13,
3426,Kentucky,103,Wright St.,62,Kentucky,37.999267578125,41,78.999267578125
3427,N.C. A&T,107,Cheyney,55,N.C. A&T,,52,
3428,VCU,84,Bellarmine,65,VCU,24.193302154541016,19,43.193302154541016
3429,NJIT,57,Penn,58,NJIT,28.734375,-1,27.734375
3430,Old Dominion,82,Buffalo,83,Old Dominion,29.031980514526367,-1,28.031980514526367
3431,James Madison,88,Ohio,78,James Madison,43.0,10,53.0
3432,Queens (NC),90,Lynchburg,39,Queens (NC),,51,
3433,William & Mary,84,Dickinson,36,William & Mary,,48,
3434,George Mason,75,N.C. Central,58,George Mason,31.5078125,17,48.5078125
3435,La Salle,65,American,52,La Salle,39.29530048370361,13,52.29530048370361
3436,Davidson,88,William Peace,47,Davidson,,41,
3437,Miami (FL),113,FDU,72,Miami (FL),30.0,41,71.0
3438,Stetson,94,New College (FL),75,Stetson,,19,
3439,Syracuse,86,Le Moyne,82,Syracuse,23.8787841796875,4,27.8787841796875
3440,Troy,84,Toledo,74,Troy,41.0,10,51.0
3441,Massachusetts,103,New Hampshire,74,Massachusetts,22.375,29,51.375
3442,Detroit Mercy,91,Cleary,52,Detroit Mercy,,39,
3443,Dartmouth,129,VTSU Lyndon,47,Dartmouth,,82,
3444,Oakland,75,Defiance,52,Oakland,,23,
3445,Cincinnati,109,Ark.-Pine Bluff,54,Cincinnati,11.472640037536621,55,66.47264003753662
3446,Marshall,90,Davis & Elkins,57,Marshall,,33,
3447,Prairie View,111,Biblical Stud. (TX),90,Prairie View,,21,
3448,Cornell,93,Marywood,52,Cornell,,41,
3449,South Carolina St.,137,Morris,55,South Carolina St.,,82,
3450,ETSU,72,Newberry,51,ETSU,,21,
3451,Maryland,79,Manhattan,49,Maryland,32.11865234375,30,62.11865234375
3452,Morgan St.,89,Frostburg St.,76,Morgan St.,,13,
3453,Michigan St.,81,Monmouth,57,Michigan St.,32.5859375,24,56.5859375
3454,Dayton,87,Saint Francis,57,Dayton,29.625,30,59.625
3455,NC State,97,USC Upstate,66,NC State,27.60736083984375,31,58.60736083984375
3456,Saint Joseph's,70,Navy,63,Saint Joseph's,33.2579345703125,7,40.2579345703125
3457,East Carolina,97,N.C. Wesleyan,70,East Carolina,,27,
3458,Louisville,93,Morehead St.,45,Louisville,31.698020935058594,48,79.6980209350586
3459,Siena,72,Brown,71,Siena,33.9765625,1,34.9765625
3460,South Carolina,71,North Florida,74,South Carolina,34.5,-3,31.5
3461,UCF,64,Texas A&M,61,UCF,57.0,3,60.0
3462,Loyola Maryland,78,Columbia,81,Loyola Maryland,39.875816345214844,-3,36.875816345214844
3463,Tennessee,80,Gardner-Webb,64,Tennessee,36.95703125,16,52.95703125
3464,Eastern Ky.,98,Alice Lloyd,69,Eastern Ky.,,29,
3465,Kansas City,91,Hannibal-La Grange,68,Kansas City,,23,
3466,Georgia St.,71,Ball St.,66,Georgia St.,30.5,5,35.5
3467,Purdue Fort Wayne,99,Bluffton,47,Purdue Fort Wayne,,52,
3468,Pittsburgh,96,Radford,56,Pittsburgh,38.037353515625,40,78.037353515625
3469,Princeton,81,Iona,80,Princeton,33.48098945617676,1,34.48098945617676
3470,Milwaukee,118,Lakeland,62,Milwaukee,,56,
3471,Duke,96,Maine,62,Duke,37.13427734375,34,71.13427734375
3472,St. Bonaventure,70,CSUN,56,St. Bonaventure,41.53125,14,55.53125
3473,UNCW,143,Mount Olive,91,UNCW,,52,
3474,Florida St.,74,Northern Ky.,62,Florida St.,37.904457092285156,12,49.904457092285156
3475,Furman,104,Columbia Int'l,46,Furman,,58,
3476,Ga. Southern,80,NIU,65,Ga. Southern,24.0,15,39.0
3477,West Virginia,87,Robert Morris,59,West Virginia,38.625,28,66.625
3478,Mount St. Mary's,98,Notre Dame (MD),62,Mount St. Mary's,,36,
3479,Hampton,110,Mid-Atlantic Christ.,53,Hampton,,57,
3480,Clemson,91,Charleston So.,64,Clemson,29.0,27,56.0
3481,UNC Greensboro,73,FGCU,64,UNC Greensboro,40.40625,9,49.40625
3482,Coastal Carolina,60,Western Mich.,56,Coastal Carolina,32.748046875,4,36.748046875
3483,Providence,59,Central Conn. St.,55,Providence,39.494476318359375,4,43.494476318359375
3484,Xavier,78,Texas Southern,69,Xavier,27.15625,9,36.15625
3485,Drake,93,York (NE),41,Drake,,52,
3486,Tulane,76,La. Christian,42,Tulane,,34,
3487,Longwood,79,Randolph,68,Longwood,,11,
3488,Louisiana Tech,77,LSU-Alexandria,50,Louisiana Tech,,27,
3489,Campbell,96,Pfeiffer,49,Campbell,,47,
3490,UAB,62,Vermont,67,UAB,35.376458168029785,-5,30.376458168029785
3491,Samford,100,Mississippi Col.,58,Samford,,42,
3492,Seton Hall,57,Saint Peter's,53,Seton Hall,35.25,4,39.25
3493,Northwestern St.,96,Dallas Christian,55,Northwestern St.,,41,
3494,Georgia,83,Tennessee Tech,78,Georgia,30.19811248779297,5,35.19811248779297
3495,Belmont,93,Maryville (TN),70,Belmont,,23,
3496,Penn St.,108,Binghamton,66,Penn St.,28.0078125,42,70.0078125
3497,Mississippi St.,95,West Ga.,60,Mississippi St.,27.00341796875,35,62.00341796875
3498,Western Caro.,100,Bob Jones,61,Western Caro.,,39,
3499,Boston U.,72,Northeastern,80,Boston U.,37.03664207458496,-8,29.03664207458496
3500,Fla. Atlantic,97,Indiana St.,64,Fla. Atlantic,37.97263717651367,33,70.97263717651367
3501,Yale,88,Quinnipiac,62,Yale,37.046958923339844,26,63.046958923339844
3502,Duquesne,72,Lipscomb,77,Duquesne,47.21303939819336,-5,42.21303939819336
3503,Army West Point,67,UAlbany,59,Army West Point,32.86102294921875,8,40.86102294921875
3504,Houston Christian,86,Avila,59,Houston Christian,,27,
3505,Utah Valley,92,Western Colo.,57,Utah Valley,,35,
3506,Nebraska,87,UTRGV,67,Nebraska,39.515625,20,59.515625
3507,Little Rock,84,Ark. Baptist,64,Little Rock,,20,
3508,Illinois,112,Eastern Ill.,67,Illinois,27.088623046875,45,72.088623046875
3509,UIC,91,St. Francis (IL),43,UIC,,48,
3510,Omaha,85,Mid-Amer. Christian,69,Omaha,,16,
3511,UTSA,103,Trinity (TX),77,UTSA,,26,
3512,Charlotte,88,Presbyterian,79,Charlotte,36.03466796875,9,45.03466796875
3513,Northern Ariz.,100,Park (AZ),49,Northern Ariz.,,51,
3514,Kansas,87,Howard,57,Kansas,33.201011657714844,30,63.201011657714844
3515,Bryant,105,Dean,63,Bryant,,42,
3516,North Dakota St.,96,Jamestown,59,North Dakota St.,,37,
3517,Austin Peay,95,Union (TN),75,Austin Peay,,20,
3518,Tulsa,82,Northeastern St.,68,Tulsa,,14,
3519,Lamar University,113,Paul Quinn,42,Lamar University,,71,
3520,Norfolk St.,96,Penn St.-Wilkes Barre,41,Norfolk St.,,55,
3521,Murray St.,113,Bethel (TN),37,Murray St.,,76,
3522,Northwestern,90,Lehigh,46,Northwestern,33.427001953125,44,77.427001953125
3523,Grambling,92,Southern-N.O.,42,Grambling,,50,
3524,Memphis,83,Missouri,75,Memphis,57.5,8,65.5
3525,Bradley,88,Southeast Mo. St.,60,Bradley,32.300872802734375,28,60.300872802734375
3526,Houston,97,Jackson St.,40,Houston,33.06773376464844,57,90.06773376464844
3527,Wake Forest,64,Coppin St.,49,Wake Forest,20.3856201171875,15,35.3856201171875
3528,George Washington,76,Mercyhurst,59,George Washington,26.98967933654785,17,43.98967933654785
3529,Iowa St.,83,Mississippi Val.,44,Iowa St.,10.07421875,39,49.07421875
3530,Vanderbilt,102,UMES,63,Vanderbilt,22.0,39,61.0
3531,Texas St.,64,Eastern Mich.,44,Texas St.,25.0,20,45.0
3532,Western Ky.,84,Wichita St.,91,Western Ky.,41.0,-7,34.0
3533,Illinois St.,65,UT Martin,67,Illinois St.,30.931049346923828,-2,28.931049346923828
3534,South Alabama,70,Central Mich.,74,South Alabama,40.123046875,-4,36.123046875
3535,Boston College,69,The Citadel,60,Boston College,26.302054405212402,9,35.3020544052124
3536,UNI,96,Dubuque,54,UNI,,42,
3537,DePaul,80,Southern Ind.,78,DePaul,28.287002563476562,2,30.287002563476562
3538,Wisconsin,85,Holy Cross,61,Wisconsin,33.43473815917969,24,57.43473815917969
3539,Louisiana,66,Kent St.,70,Louisiana,45.10503387451172,-4,41.10503387451172
3540,Arkansas St.,80,Akron,75,Arkansas St.,43.50798988342285,5,48.50798988342285
3541,TCU,105,Florida A&M,59,TCU,25.0,46,71.0
3542,Rhode Island,96,Fairfield,58,Rhode Island,31.90625,38,69.90625
3543,Virginia Tech,83,Delaware St.,60,Virginia Tech,31.5625,23,54.5625
3544,Michigan,101,Cleveland St.,53,Michigan,33.3495569229126,48,81.3495569229126
3545,Southern Miss.,77,Bowling Green,68,Southern Miss.,37.35507678985596,9,46.35507678985596
3546,Iowa,89,East Texas A&M,67,Iowa,28.1328125,22,50.1328125
3547,Villanova,75,Lafayette,63,Villanova,33.494476318359375,12,45.494476318359375
3548,Loyola Chicago,79,Chicago St.,72,Loyola Chicago,20.447998046875,7,27.447998046875
3549,Tennessee St.,96,Fisk,66,Tennessee St.,,30,
3550,SFA,85,Dallas,51,SFA,,34,
3551,Abilene Christian,107,Howard Payne,74,Abilene Christian,,33,
3552,SIUE,95,Westminster (MO),42,SIUE,,53,
3553,SMU,96,Tarleton St.,62,SMU,34.419921875,34,68.419921875
3554,Southeastern La.,91,William Carey,53,Southeastern La.,,38,
3555,Southern Utah,96,Western N.M.,68,Southern Utah,,28,
3556,Marquette,102,Stony Brook,62,Marquette,28.24609375,40,68.24609375
3557,Florida,98,South Fla.,83,Florida,38.23003387451172,15,53.23003387451172
3558,ULM,111,Champion Chris.,61,ULM,,50,
3559,Ole Miss,90,LIU,60,Ole Miss,30.25,30,60.25
3560,Weber St.,118,Northwest Indian,35,Weber St.,,83,
3561,Colorado,76,Eastern Wash.,56,Colorado,32.75,20,52.75
3562,New Mexico St.,93,N.M. Highlands,57,New Mexico St.,,36,
3563,New Mexico,91,Nicholls,84,New Mexico,38.32915496826172,7,45.32915496826172
3564,Montana,92,Hawaii Hilo,61,Montana,,31,
3565,South Dakota,93,Southern U.,79,South Dakota,37.886268615722656,14,51.886268615722656
3566,UTEP,102,Sul Ross St.,55,UTEP,,47,
3567,North Carolina,90,Elon,76,North Carolina,45.33986282348633,14,59.33986282348633
3568,LMU (CA),99,LIFE Pacific,56,LMU (CA),,43,
3569,Idaho,94,Northwest (WA),60,Idaho,,34,
3570,Oklahoma,93,Lindenwood,60,Oklahoma,27.124267578125,33,60.124267578125
3571,Utah,100,Alcorn,59,Utah,28.07421875,41,69.07421875
3572,Grand Canyon,89,Cal St. Fullerton,79,Grand Canyon,28.875003814697266,10,38.875003814697266
3573,Oklahoma St.,89,Green Bay,76,Oklahoma St.,26.0,13,39.0
3574,Alabama,110,UNC Asheville,54,Alabama,39.5,56,95.5
3575,St. Thomas (MN),96,North Central (MN),71,St. Thomas (MN),,25,
3576,Air Force,57,North Ala.,73,Air Force,43.0,-16,27.0
3577,Colorado St.,82,North Dakota,56,Colorado St.,30.022171020507812,26,56.02217102050781
3578,Wyoming,108,Concordia-St. Paul,85,Wyoming,,23,
3579,Texas,72,Ohio St.,80,Texas,57.4454345703125,-8,49.4454345703125
3580,Northern Colo.,75,Colorado Col.,55,Northern Colo.,,20,
3581,UC Santa Barbara,96,San Fran. St.,47,UC Santa Barbara,,49,
3582,Oregon St.,80,Utah Tech,57,Oregon St.,31.5,23,54.5
3583,Pacific,92,Jessup,65,Pacific,,27,
3584,Saint Mary's (CA),76,Towson,69,Saint Mary's (CA),41.038469314575195,7,48.038469314575195
3585,Nevada,91,Sam Houston,75,Nevada,38.53125,16,54.53125
3586,Southern California,77,Chattanooga,51,Southern California,40.09202003479004,26,66.09202003479004
3587,California Baptist,83,UIW,78,California Baptist,35.890777587890625,5,40.890777587890625
3588,San Jose St.,55,Western Ill.,59,San Jose St.,26.802143096923828,-4,22.802143096923828
3589,Long Beach St.,93,La Verne,48,Long Beach St.,,45,
3590,Arizona,93,Canisius,64,Arizona,20.404296875,29,49.404296875
3591,UCLA,85,Rider,50,UCLA,30.18145751953125,35,65.18145751953125
3592,Oregon,91,UC Riverside,76,Oregon,41.044342041015625,15,56.044342041015625
3593,UC Irvine,82,Chapman,52,UC Irvine,,30,
3594,Washington St.,100,Portland St.,92,Washington St.,36.0,8,44.0
3595,California,86,CSU Bakersfield,73,California,36.894351959228516,13,49.894351959228516
3596,Gonzaga,101,Baylor,63,Gonzaga,60.4375,38,98.4375
3597,UNLV,93,Alabama St.,79,UNLV,30.0400390625,14,44.0400390625
3598,Kennesaw St.,110,Toccoa Falls,61,Kennesaw St.,,49,
3599,Colgate,95,SUNY Canton,62,Colgate,,33,
3600,Rice,77,FIU,70,Rice,33.515625,7,40.515625
3601,Texas Tech,94,Bethune-Cookman,61,Texas Tech,34.56894397735596,33,67.56894397735596
3602,Kansas St.,89,New Orleans,65,Kansas St.,26.507568359375,24,50.507568359375
3603,North Texas,80,Evansville,63,North Texas,31.3125,17,48.3125
3604,Arizona St.,55,Idaho St.,48,Arizona St.,41.890663146972656,7,48.890663146972656
3605,BYU,88,Central Ark.,50,BYU,26.526161193847656,38,64.52616119384766
3606,Sacramento St.,106,Cal Maritime,44,Sacramento St.,,62,
3607,San Francisco,86,Cal Poly,78,San Francisco,37.0,8,45.0
3608,Washington,79,UC Davis,73,Washington,37.3125,6,43.3125
3609,Morgan St.,73,Mercyhurst,78,Morgan St.,26.98967933654785,-5,21.98967933654785
3610,Rutgers,75,Wagner,52,Rutgers,26.8203125,23,49.8203125
3611,Maine,98,Me.-Fort Kent,47,Maine,,51,
3612,UConn,92,Sacred Heart,56,UConn,34.2373046875,36,70.2373046875
3613,High Point,93,Coppin St.,51,High Point,20.3856201171875,42,62.3856201171875
3614,Villanova,80,Columbia,90,Villanova,39.875816345214844,-10,29.875816345214844
3615,Morehead St.,89,Boyce,48,Morehead St.,,41,
3616,Virginia,65,Campbell,56,Virginia,35.72271728515625,9,44.72271728515625
3617,Le Moyne,75,CSUN,97,Le Moyne,41.53125,-22,19.53125
3618,Notre Dame,89,Stonehill,60,Notre Dame,29.0,29,58.0
3619,Cleveland St.,91,Baldwin Wallace,53,Cleveland St.,,38,
3620,Georgetown,85,Lehigh,77,Georgetown,33.427001953125,8,41.427001953125
3621,New Hampshire,99,UMass Boston,69,New Hampshire,,30,
3622,Richmond,101,Mount Olive,68,Richmond,,33,
3623,Wright St.,89,Ohio Christian,60,Wright St.,,29,
3624,USC Upstate,103,Piedmont,70,USC Upstate,,33,
3625,Presbyterian,120,Carolina Christian,45,Presbyterian,,75,
3626,Texas Southern,100,TAMU-San Antonio,66,Texas Southern,,34,
3627,Norfolk St.,104,Virginia-Lynchburg,60,Norfolk St.,-18.04022216796875,44,25.95977783203125
3628,Georgia Tech,85,West Ga.,62,Georgia Tech,27.00341796875,23,50.00341796875
3629,App State,108,St. Andrews,54,App State,,54,
3630,Minnesota,80,Oral Roberts,57,Minnesota,27.897214889526367,23,50.89721488952637
3631,Indiana,80,SIUE,61,Indiana,35.90677261352539,19,54.90677261352539
3632,LSU,95,ULM,60,LSU,25.25,35,60.25
3633,South Dakota,91,East Texas A&M,83,South Dakota,28.1328125,8,36.1328125
3634,Auburn,94,Vermont,43,Auburn,35.376458168029785,51,86.37645816802979
3635,Arkansas,76,Lipscomb,60,Arkansas,47.21303939819336,16,63.21303939819336
3636,Ark.-Pine Bluff,99,Champion Chris.,57,Ark.-Pine Bluff,,42,
3637,Eastern Ill.,97,Earlham,61,Eastern Ill.,,36,
3638,Pepperdine,77,Western Ill.,64,Pepperdine,26.802143096923828,13,39.80214309692383
3639,Boise St.,87,Oakland,43,Boise St.,38.0,44,82.0
3640,Eastern Wash.,93,Seattle U,86,Eastern Wash.,37.345672607421875,7,44.345672607421875
3641,Creighton,99,UTRGV,86,Creighton,39.515625,13,52.515625
3642,Utah St.,101,Alcorn,46,Utah St.,28.07421875,55,83.07421875
3643,San Diego St.,63,UC San Diego,58,San Diego St.,53.801963806152344,5,58.801963806152344
3644,Portland,83,Lewis & Clark,70,Portland,,13,
