year,team,conference,logo
2023,"Rhode Island","Atlantic 10",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/rhode-island.svg
2023,Rice,C-USA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/rice.svg
2023,Richmond,"Atlantic 10",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/richmond.svg
2023,Rider,MAAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/rider.svg
2023,"Robert Morris",Horizon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/robert-morris.svg
2023,Rutgers,"Big Ten",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/rutgers.svg
2023,"Sacramento St.","Big Sky",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/sacramento-st.svg
2023,"Sacred Heart",NEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/sacred-heart.svg
2023,"Saint Francis (PA)",NEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-francis-pa.svg
2023,"Saint Joseph's","Atlantic 10",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/saint-josephs.svg
2023,"Saint Louis","Atlantic 10",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/saint-louis.svg
2023,"Saint Mary's (CA)",WCC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-marys-ca.svg
2023,"Saint Peter's",MAAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-peters.svg
2023,"Sam Houston",WAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/sam-houston-st.svg
2023,Samford,SoCon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/samford.svg
2023,"San Diego",WCC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/san-diego.svg
2023,"San Diego St.","Mountain West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/san-diego-st.svg
2023,"San Francisco",WCC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/san-francisco.svg
2023,"San Jose St.","Mountain West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/san-jose-st.svg
2023,"Santa Clara",WCC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/santa-clara.svg
2023,"Seattle U",WAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/seattle.svg
2023,"Seton Hall","Big East",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/seton-hall.svg
2023,SFA,WAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/stephen-f-austin.svg
2023,Siena,MAAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/siena.svg
