,date,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
479,2023-11-13,Quinnipiac,81,Massachusetts,102,Massachusetts,28.421875,-21,12.421875
480,2023-11-13,VMI,64,South Carolina,74,South Carolina,28.0,-10,23.0
481,2023-11-13,Stony Brook,63,Duquesne,85,Duquesne,22.75,-22,5.75
482,2023-11-13,Framingham St.,42,Central Conn. St.,99,Central Conn. St.,8.0,-57,-44.0
483,2023-11-13,Villanova,72,Penn,76,Penn,17.6171875,-4,18.6171875
484,2023-11-13,Western Caro.,66,Middle Tenn.,64,Middle Tenn.,10.0,2,17.0
485,2023-11-13,Ark.-Pine Bluff,85,Central Ark.,83,Central Ark.,3.1875,2,10.1875
486,2023-11-13,SFA,96,Northwestern St.,70,Northwestern St.,2.03125,26,33.03125
487,2023-11-13,South Dakota St.,68,Kansas St.,91,Kansas St.,27.1953125,-23,9.1953125
488,2023-11-13,Champion Chris.,46,McNeese,110,McNeese,26.15625,-64,-32.84375
489,2023-11-13,Oral Roberts,69,Missouri St.,84,Missouri St.,23.625,-15,13.625
490,2023-11-13,IIT,55,NIU,107,NIU,16.0078125,-52,-30.9921875
491,2023-11-13,Old Dominion,77,Arkansas,86,Arkansas,25.0,-9,21.0
492,2023-11-13,Hannibal-La Grange,52,Lindenwood,83,Lindenwood,2.0,-31,-24.0
493,2023-11-13,SIUE,50,Missouri,68,Missouri,28.1875,-18,15.1875
494,2023-11-13,Stetson,48,Houston,79,Houston,47.0,-31,21.0
495,2023-11-13,Southern U.,59,Arizona,97,Arizona,42.875,-38,9.875
496,2023-11-13,Rider,50,Nebraska,64,Nebraska,32.25,-14,23.25
497,2023-11-13,Xavier,71,Purdue,83,Purdue,41.328125,-12,34.328125
498,2023-11-13,Dallas Christian,45,A&M-Corpus Christi,104,A&M-Corpus Christi,13.75,-59,-40.25
499,2023-11-13,UC Santa Barbara,76,UTEP,89,UTEP,13.15625,-13,5.15625
